p,mean p omega
0.1358,0.1635
0.1504,0.1020
0.1504,0.1504
0.1504,0.2906
0.3800,0.2698
0.0981,0.3573
0.4755,0.2939
0.5038,0.3717
0.1356,0.1528
0.2126,0.1344
0.2376,0.0749
0.0069,0.1594
0.2560,0.0644
0.1240,0.1667
0.0710,0.0887
0.0710,0.1992
0.2558,0.1373
0.0417,0.2494
0.1945,0.1181
0.1945,0.3698
0.4391,0.2875
0.0711,0.1881
0.3051,0.2218
0.3051,0.2743
0.3379,0.3024
0.2833,0.3301
0.3615,0.2829
0.3615,0.1976
0.1899,0.1583
0.1760,0.1793
0.1760,0.2437
0.3736,0.1615
0.0482,0.1495
0.0624,0.1109
0.0151,0.0530
0.0151,0.0387
0.1334,0.1583
0.1362,0.1343
0.1362,0.1679
0.0019,0.1396
0.0199,0.1638
0.0199,0.0852
0.1504,0.2284
0.2975,0.1234
0.0981,0.2347
0.0981,0.0981
0.0981,0.1781
0.1256,0.1193
0.0816,0.1276
0.0816,0.0816
0.1151,0.1842
0.0069,0.0107
0.0126,0.0999
0.1240,0.0497
0.0340,0.0784
0.3946,0.2123
0.3946,0.3919
0.5056,0.3096
0.1945,0.2744
0.3883,0.2445
0.0974,0.1987
0.0711,0.2351
0.3991,0.1888
0.3051,0.3077
0.3379,0.3297
0.3379,0.2844
0.2036,0.2829
0.2036,0.2444
0.2036,0.1428
0.0702,0.2332
0.2471,0.2656
0.3736,0.2120
0.1136,0.2169
0.3322,0.0880
0.0624,0.4044
0.4845,0.1795
0.3487,0.3222
0.2235,0.2690
0.2318,0.2318
0.3356,0.2664
0.3356,0.1801
0.0199,0.2866
0.4460,0.0923
0.0948,0.2504
0.1634,0.0965
0.0981,0.1196
0.0131,0.1033
0.0131,0.0359
0.2800,0.0814
0.0816,0.2349
0.2890,0.1246
0.0126,0.2002
0.0126,0.0126
0.0126,0.0777
0.1715,0.1185
0.1715,0.3853
0.4115,0.3473
0.4115,0.2339
0.0093,0.3088
0.3445,0.1878
0.3445,0.3445
0.0417,0.1006
0.0739,0.1830
0.1889,0.2264
0.3379,0.2571
0.3127,0.3015
0.2287,0.1831
0.2087,0.1623
0.0820,0.1441
0.0820,0.1660
0.2471,0.1768
0.1136,0.2069
0.1136,0.1136
0.1136,0.3702
0.8167,0.1338
0.1839,0.2330
0.3487,0.3076
0.3487,0.3561
0.2318,0.2488
0.2318,0.2710
0.3449,0.2710
0.3449,0.2785
0.1039,0.2467
0.0948,0.0971
0.0948,0.1408
0.2039,0.1502
0.2039,0.1025
0.0131,0.1546
0.1493,0.2385
0.2890,0.2245
0.2890,0.2890
0.2890,0.1784
0.0126,0.0767
0.0026,0.0778
0.1715,0.2122
0.5635,0.3186
0.4115,0.3850
0.0093,0.2185
0.0093,0.0087
0.0093,0.2024
0.3445,0.1360
