p,mean p omega,u,deg
0.9841,0.9863,9.9639,2.0000
0.9840,0.9747,10.1595,4.0000
0.9715,0.9842,10.0415,2.0000
0.9901,0.9852,9.9825,6.0000
0.9807,0.9746,9.8138,3.0000
0.9863,0.9831,9.9908,8.0000
0.9733,0.9779,9.9722,3.0000
0.9656,0.9841,9.9527,8.0000
0.9656,0.9829,9.9425,4.0000
0.9855,0.9819,9.9045,4.0000
0.9776,0.9805,9.9086,7.0000
0.9852,0.9832,9.8433,4.0000
0.9901,0.9841,9.8849,5.0000
0.9695,0.9786,9.9713,2.0000
0.9733,0.9775,10.1263,9.0000
0.9841,0.9786,10.1227,2.0000
0.9719,0.9819,10.0249,3.0000
0.9776,0.9807,10.0014,2.0000
0.9695,0.9882,9.9378,2.0000
0.9656,0.9801,10.0690,3.0000
0.9809,0.9839,10.0094,2.0000
0.9807,0.9762,10.0753,4.0000
0.9927,0.9788,10.0565,6.0000
0.9786,0.9853,9.9522,2.0000
0.9776,0.9811,9.9710,2.0000
0.9656,0.9725,9.8406,3.0000
0.9786,NaN,0.0000,0.0000
0.9855,0.9880,9.9151,6.0000
0.9870,0.9815,9.7929,5.0000
0.9863,0.9794,10.0094,4.0000
0.9808,0.9821,9.9258,5.0000
0.9733,0.9730,10.0168,6.0000
0.9855,0.9826,9.8897,1.0000
0.9776,0.9677,10.2717,4.0000
0.9778,0.9748,9.9018,3.0000
0.9843,0.9798,9.9873,9.0000
0.9870,0.9780,10.0227,3.0000
0.9826,0.9723,10.0569,2.0000
0.9730,0.9799,9.9879,2.0000
0.9855,0.9745,10.1325,5.0000
0.9895,0.9838,10.0582,8.0000
0.9776,0.9805,9.9865,2.0000
0.9730,0.9734,9.9725,4.0000
0.9776,0.9855,9.9682,2.0000
0.9776,0.9776,9.9592,7.0000
0.9661,0.9817,9.9063,2.0000
0.9786,0.9756,10.0925,4.0000
0.9808,0.9808,10.0218,1.0000
0.9801,0.9790,9.9915,4.0000
0.9901,0.9871,10.0645,2.0000
0.9842,0.9794,10.0625,2.0000
0.9948,0.9843,10.0927,1.0000
0.9843,0.9807,9.8742,7.0000
0.9809,0.9800,10.0332,3.0000
0.9623,0.9686,10.0638,7.0000
0.9985,0.9832,10.0014,3.0000
0.9843,0.9823,9.9582,6.0000
0.9776,0.9810,9.9886,3.0000
0.9936,0.9813,9.9523,2.0000
0.9763,0.9766,9.9806,3.0000
0.9809,0.9772,10.1222,2.0000
0.9840,0.9793,10.0839,9.0000
0.9776,0.9868,9.8233,5.0000
0.9855,0.9800,9.9784,5.0000
0.9895,0.9733,10.0085,2.0000
0.9835,0.9912,9.9152,4.0000
0.9840,0.9848,10.1111,3.0000
0.9563,0.9858,9.7828,3.0000
0.9891,0.9847,9.9993,2.0000
0.9776,0.9748,9.9409,6.0000
0.9765,0.9816,9.9161,7.0000
0.9922,0.9811,10.0579,5.0000
0.9854,0.9874,9.8978,2.0000
0.9841,0.9842,10.0779,3.0000
0.9889,0.9834,10.1147,4.0000
0.9948,0.9798,9.8511,4.0000
0.9778,0.9778,9.9360,1.0000
0.9870,0.9784,10.0098,7.0000
0.9747,0.9835,10.0415,10.0000
0.9801,0.9747,10.0515,2.0000
0.9841,0.9835,9.9860,5.0000
0.9835,0.9839,9.8966,3.0000
0.9901,0.9721,10.0710,3.0000
0.9766,0.9834,9.9756,5.0000
0.9895,0.9786,10.0536,6.0000
0.9865,0.9696,10.0365,3.0000
0.9805,0.9788,10.0315,5.0000
0.9901,0.9850,9.8620,3.0000
