gen,mean p,sigma p,max p,mean u,sigma u,sigma deg
871,0.9980,0.0033,1.0000,9.8305,1.2885,2.2057
872,0.9979,0.0033,1.0000,9.8124,1.3569,2.2009
873,0.9979,0.0032,1.0000,9.8188,1.3346,2.1969
874,0.9978,0.0032,1.0000,9.8057,1.3788,2.1989
875,0.9978,0.0033,1.0000,9.8125,1.3569,2.2028
876,0.9978,0.0033,1.0000,9.8117,1.3568,2.1875
877,0.9978,0.0033,1.0000,9.8132,1.3570,2.1872
878,0.9977,0.0035,1.0000,9.8240,1.3117,2.1734
879,0.9978,0.0035,1.0000,9.8197,1.3347,2.1691
880,0.9977,0.0035,1.0000,9.8115,1.3569,2.1726
881,0.9978,0.0035,1.0000,9.8124,1.3570,2.1602
882,0.9977,0.0034,1.0000,9.8249,1.3119,2.1506
883,0.9976,0.0035,1.0000,9.8308,1.2886,2.1369
884,0.9976,0.0034,1.0000,9.8309,1.2887,2.1418
885,0.9975,0.0034,1.0000,9.8253,1.3119,2.1363
886,0.9975,0.0035,1.0000,9.8307,1.2886,2.1251
887,0.9975,0.0034,1.0000,9.8189,1.3347,2.1380
888,0.9973,0.0035,1.0000,9.8183,1.3346,2.1372
889,0.9973,0.0036,1.0000,9.8124,1.3570,2.1310
890,0.9975,0.0034,1.0000,9.8132,1.3571,2.1296
891,0.9975,0.0034,1.0000,9.8127,1.3570,2.1157
892,0.9976,0.0033,1.0000,9.8381,1.2651,2.1207
893,0.9976,0.0033,1.0000,9.8313,1.2887,2.1260
894,0.9977,0.0032,1.0000,9.8192,1.3347,2.1275
895,0.9978,0.0031,1.0000,9.8315,1.2886,2.1228
896,0.9977,0.0033,1.0000,9.8243,1.3117,2.1237
897,0.9977,0.0032,1.0000,9.8252,1.3118,2.1225
898,0.9978,0.0033,1.0000,9.8316,1.2886,2.1142
899,0.9977,0.0033,1.0000,9.8371,1.2649,2.1131
900,0.9976,0.0035,1.0000,9.8248,1.3118,2.0967
901,0.9976,0.0036,1.0000,9.8376,1.2650,2.0818
902,0.9975,0.0037,1.0000,9.8432,1.2408,2.0715
903,0.9975,0.0037,1.0000,9.8561,1.1911,2.0739
904,0.9974,0.0037,1.0000,9.8501,1.2163,2.0715
905,0.9974,0.0038,1.0000,9.8497,1.2163,2.0643
906,0.9975,0.0037,1.0000,9.8504,1.2164,2.0634
907,0.9974,0.0036,1.0000,9.8433,1.2409,2.0463
908,0.9974,0.0036,1.0000,9.8440,1.2409,2.0628
909,0.9974,0.0036,1.0000,9.8440,1.2409,2.0579
910,0.9973,0.0037,1.0000,9.8308,1.2886,2.0482
911,0.9974,0.0037,1.0000,9.8435,1.2409,2.0503
912,0.9976,0.0036,1.0000,9.8567,1.1911,2.0454
913,0.9975,0.0036,1.0000,9.8628,1.1653,2.0384
914,0.9976,0.0034,1.0000,9.8691,1.1389,2.0399
915,0.9976,0.0034,1.0000,9.8570,1.1911,2.0353
916,0.9977,0.0033,1.0000,9.8560,1.1909,2.0436
917,0.9978,0.0033,1.0000,9.8562,1.1909,2.0433
918,0.9978,0.0032,1.0000,9.8631,1.1652,2.0414
919,0.9978,0.0033,1.0000,9.8559,1.1908,2.0414
920,0.9978,0.0033,1.0000,9.8566,1.1910,2.0460
921,0.9978,0.0034,1.0000,9.8437,1.2408,2.0691
922,0.9977,0.0034,1.0000,9.8493,1.2161,2.0752
923,0.9978,0.0034,1.0000,9.8566,1.1911,2.0794
924,0.9978,0.0033,1.0000,9.8621,1.1652,2.0863
925,0.9978,0.0034,1.0000,9.8495,1.2161,2.0976
926,0.9978,0.0033,1.0000,9.8441,1.2409,2.1163
927,0.9979,0.0032,1.0000,9.8440,1.2408,2.1024
928,0.9980,0.0031,1.0000,9.8625,1.1651,2.0919
929,0.9980,0.0032,1.0000,9.8755,1.1117,2.0839
930,0.9980,0.0032,1.0000,9.8689,1.1388,2.0755
931,0.9979,0.0033,1.0000,9.8621,1.1651,2.0634
932,0.9980,0.0031,1.0000,9.8562,1.1909,2.0667
933,0.9981,0.0031,1.0000,9.8376,1.2649,2.0712
934,0.9981,0.0031,1.0000,9.8386,1.2650,2.0655
935,0.9981,0.0030,1.0000,9.8494,1.2160,2.0530
936,0.9981,0.0029,1.0000,9.8380,1.2649,2.0534
937,0.9980,0.0030,1.0000,9.8247,1.3116,2.0399
938,0.9979,0.0031,1.0000,9.8186,1.3345,2.0418
939,0.9978,0.0033,1.0000,9.8248,1.3117,2.0442
940,0.9978,0.0032,1.0000,9.8061,1.3788,2.0543
941,0.9978,0.0033,1.0000,9.8062,1.3789,2.0658
942,0.9979,0.0030,1.0000,9.7936,1.4217,2.0703
943,0.9978,0.0031,1.0000,9.7877,1.4426,2.0803
944,0.9979,0.0030,1.0000,9.7752,1.4835,2.0878
945,0.9979,0.0030,1.0000,9.7754,1.4835,2.0797
946,0.9979,0.0029,1.0000,9.7618,1.5229,2.0776
947,0.9980,0.0028,1.0000,9.7634,1.5232,2.0821
948,0.9980,0.0029,1.0000,9.7627,1.5231,2.0812
949,0.9980,0.0028,1.0000,9.7505,1.5617,2.0875
950,0.9979,0.0029,1.0000,9.7556,1.5424,2.0949
951,0.9981,0.0028,1.0000,9.7631,1.5232,2.0872
952,0.9980,0.0029,1.0000,9.7495,1.5615,2.0878
953,0.9980,0.0029,1.0000,9.7502,1.5616,2.0860
954,0.9980,0.0030,1.0000,9.7500,1.5616,2.0854
955,0.9980,0.0030,1.0000,9.7500,1.5616,2.0721
956,0.9981,0.0029,1.0000,9.7439,1.5805,2.0791
957,0.9979,0.0029,1.0000,9.7246,1.6356,2.0812
958,0.9979,0.0030,1.0000,9.7309,1.6175,2.0752
959,0.9978,0.0031,1.0000,9.7374,1.5991,2.0827
960,0.9978,0.0031,1.0000,9.7694,1.5035,2.0733
961,0.9977,0.0031,1.0000,9.7998,1.4004,2.0764
962,0.9978,0.0031,1.0000,9.7999,1.4004,2.0797
963,0.9978,0.0030,1.0000,9.8001,1.4005,2.0755
964,0.9978,0.0030,1.0000,9.8127,1.3569,2.0712
965,0.9978,0.0030,1.0000,9.8187,1.3345,2.0748
966,0.9980,0.0030,1.0000,9.8315,1.2885,2.0767
967,0.9980,0.0029,1.0000,9.8194,1.3345,2.0794
968,0.9979,0.0031,1.0000,9.8124,1.3568,2.0914
969,0.9979,0.0031,1.0000,9.7940,1.4217,2.0860
970,0.9979,0.0031,1.0000,9.7997,1.4004,2.0736
971,0.9980,0.0030,1.0000,9.8009,1.4006,2.0815
972,0.9978,0.0031,1.0000,9.7801,1.4630,2.0827
973,0.9977,0.0031,1.0000,9.7561,1.5425,2.0833
974,0.9978,0.0032,1.0000,9.7623,1.5231,2.0866
975,0.9978,0.0032,1.0000,9.7568,1.5426,2.0815
976,0.9977,0.0033,1.0000,9.7750,1.4835,2.0833
977,0.9978,0.0031,1.0000,9.8002,1.4005,2.0773
978,0.9976,0.0033,1.0000,9.8055,1.3787,2.0691
979,0.9976,0.0032,1.0000,9.8250,1.3118,2.0646
980,0.9978,0.0031,1.0000,9.8195,1.3346,2.0503
981,0.9978,0.0030,1.0000,9.8186,1.3345,2.0688
982,0.9978,0.0030,1.0000,9.8134,1.3570,2.0625
983,0.9976,0.0031,1.0000,9.8176,1.3344,2.0625
984,0.9977,0.0032,1.0000,9.8132,1.3570,2.0619
985,0.9976,0.0031,1.0000,9.8057,1.3788,2.0606
986,0.9976,0.0032,1.0000,9.7877,1.4427,2.0730
987,0.9976,0.0033,1.0000,9.7679,1.5033,2.0806
988,0.9975,0.0035,1.0000,9.7563,1.5426,2.0748
989,0.9974,0.0035,1.0000,9.7500,1.5618,2.0715
990,0.9975,0.0036,1.0000,9.7501,1.5618,2.0631
991,0.9974,0.0037,1.0000,9.7625,1.5232,2.0579
992,0.9974,0.0037,1.0000,9.7750,1.4836,2.0667
993,0.9976,0.0037,1.0000,9.7700,1.5038,2.0646
994,0.9976,0.0036,1.0000,9.7688,1.5036,2.0509
995,0.9976,0.0037,1.0000,9.7935,1.4218,2.0540
996,0.9976,0.0037,1.0000,9.8065,1.3791,2.0619
997,0.9977,0.0037,1.0000,9.8127,1.3572,2.0534
998,0.9977,0.0037,1.0000,9.8248,1.3120,2.0564
999,0.9977,0.0038,1.0000,9.8067,1.3791,2.0427
1000,0.9979,0.0037,1.0000,9.8189,1.3348,2.0485
