p,mean p omega,u,deg
0.9801,0.9778,9.8681,11.0000
0.9647,0.9732,10.0832,9.0000
0.9820,0.9687,10.0174,3.0000
0.9801,0.9791,10.0000,2.0000
0.9826,0.9671,10.0364,3.0000
0.9801,0.9782,9.6205,2.0000
0.9849,0.9807,9.8992,3.0000
0.8386,0.9693,9.4008,2.0000
0.9748,0.9743,9.8599,4.0000
0.9884,0.9521,9.8203,10.0000
0.9849,0.9711,10.0865,7.0000
0.9801,0.9466,9.8829,3.0000
0.9801,0.9652,10.1880,4.0000
0.9801,0.9735,9.9832,9.0000
0.9826,0.9797,9.9774,5.0000
0.9801,0.9836,9.9359,3.0000
0.9801,0.9780,9.9225,4.0000
0.9809,0.9764,10.0064,4.0000
0.9763,0.9715,10.0204,2.0000
0.7481,0.9806,7.5461,3.0000
0.9713,0.9738,9.9064,8.0000
0.9826,0.9774,9.9817,4.0000
0.9763,0.9674,10.1838,5.0000
0.9809,0.9574,10.1085,5.0000
0.9522,0.9628,10.2439,5.0000
0.9936,0.9678,9.7452,2.0000
0.9647,0.9569,9.8661,6.0000
0.9719,0.9627,9.9891,5.0000
0.9629,0.9676,9.9334,4.0000
0.9763,0.9809,10.0159,2.0000
0.9629,0.9735,10.0552,4.0000
0.9809,0.9626,10.0203,6.0000
0.9609,0.9694,9.9689,5.0000
0.9529,0.9705,9.8930,5.0000
0.9855,0.9698,10.1969,2.0000
0.9820,0.9788,9.9014,5.0000
0.9647,0.9698,9.9251,5.0000
0.9809,0.9724,10.3225,2.0000
0.9801,0.9730,9.9075,5.0000
0.9513,0.9790,9.1449,3.0000
0.9781,0.9621,10.1387,8.0000
0.9513,0.9787,9.7988,6.0000
0.9801,0.9721,10.0839,9.0000
0.9759,0.9772,9.8297,5.0000
0.9809,0.9683,9.9649,5.0000
0.9547,0.9665,9.8820,1.0000
0.9629,0.9832,9.8086,7.0000
0.9679,0.9791,9.8315,2.0000
0.9801,0.9724,10.0427,2.0000
0.9204,0.9809,9.6894,1.0000
0.9826,0.9698,10.2446,3.0000
0.9513,0.9791,9.8780,3.0000
0.9647,0.9674,9.9625,5.0000
0.9644,0.9767,9.9276,7.0000
0.7481,0.9669,9.1516,4.0000
0.9780,0.9536,10.1887,3.0000
0.9801,0.9620,10.2195,6.0000
0.9809,0.9575,9.8853,6.0000
0.9637,0.9788,9.9321,7.0000
0.9763,0.9762,10.0633,4.0000
0.9936,0.9623,9.9959,4.0000
0.9809,0.9622,10.2066,4.0000
0.9722,0.9757,9.9135,4.0000
0.9748,0.9484,10.0416,6.0000
0.9783,0.9545,9.9819,1.0000
0.9727,0.9687,10.0755,3.0000
0.9555,0.9718,9.7276,9.0000
0.9809,0.9647,10.1621,1.0000
0.9629,0.9660,10.0182,3.0000
0.9644,0.9707,10.0873,5.0000
0.9763,0.9705,10.0011,2.0000
0.9801,0.9849,9.9521,1.0000
0.9727,0.9763,9.9639,1.0000
0.9884,0.9691,9.9672,4.0000
0.9547,0.9759,9.7930,5.0000
0.9629,0.9772,9.9941,2.0000
0.9762,0.9648,10.1147,1.0000
0.9648,0.9766,10.0300,4.0000
0.9936,0.9677,10.0351,3.0000
0.9781,0.9792,10.0106,4.0000
0.9648,0.9659,9.8200,9.0000
0.9629,0.9775,9.9903,4.0000
0.9849,0.9779,10.0307,5.0000
0.9849,0.9568,9.9824,14.0000
0.9759,0.9703,9.8026,5.0000
0.9936,0.9748,10.0943,6.0000
0.9884,0.9415,10.0117,5.0000
0.9763,0.9824,9.9693,5.0000
0.9801,0.9415,10.1662,4.0000
0.9719,0.9684,10.0607,6.0000
0.9801,0.8848,12.3456,5.0000
0.9902,0.9764,9.9887,2.0000
0.9936,0.9640,10.2026,5.0000
