p,mean p omega,u,deg
0.1408,0.0674,9.4067,7.0000
0.0806,0.0835,10.0808,5.0000
0.1103,0.0466,11.0407,5.0000
0.1007,0.0827,9.5240,4.0000
0.0254,0.0426,9.6127,4.0000
0.1648,0.1196,10.2798,4.0000
0.1648,0.1591,9.9169,4.0000
0.1604,0.1529,9.5656,3.0000
0.2639,0.1071,10.0968,4.0000
0.0208,0.1064,9.7076,5.0000
0.0404,0.0594,10.4854,3.0000
0.1004,0.0723,10.0838,4.0000
0.1004,0.0622,10.1822,5.0000
0.0500,0.0672,10.0000,6.0000
0.0500,0.0500,10.2380,4.0000
0.0500,0.0438,9.9250,4.0000
0.0500,0.0442,10.1292,4.0000
0.0500,0.0515,9.9413,4.0000
0.0133,0.0295,10.3255,2.0000
0.0133,0.0513,9.7559,4.0000
0.1328,0.0158,10.5071,3.0000
0.0133,0.0532,9.9934,4.0000
0.0119,0.0126,10.0069,2.0000
0.0457,0.0671,9.6330,4.0000
0.0119,0.0200,10.5575,3.0000
0.0363,0.0251,8.8560,5.0000
0.0659,0.0512,10.5740,3.0000
0.0659,0.0548,9.3775,3.0000
0.0950,0.0648,10.6655,4.0000
0.0827,0.0975,10.1909,4.0000
0.1185,0.0904,8.4229,3.0000
0.1850,0.1456,9.3127,5.0000
0.0548,0.0707,10.7409,8.0000
0.0524,0.0733,9.2391,4.0000
0.0625,0.0599,10.4517,5.0000
0.0457,0.0393,10.3408,3.0000
0.1436,0.1168,9.4017,4.0000
0.1378,0.0882,9.8402,6.0000
0.1145,0.0763,10.9956,4.0000
0.0898,0.0446,9.8600,3.0000
0.0898,0.0733,10.3529,4.0000
0.0898,0.0733,10.0593,5.0000
0.1007,0.0825,9.9600,3.0000
0.0887,0.0882,9.8893,4.0000
0.0036,0.0036,10.8782,3.0000
0.0036,0.0675,8.0028,3.0000
0.1604,0.1648,9.9781,2.0000
0.0588,0.0542,8.1100,5.0000
0.1604,0.1292,9.1967,6.0000
0.1604,0.0777,9.9066,4.0000
0.0500,0.0928,10.0217,4.0000
0.1083,0.1004,9.7480,2.0000
0.1004,0.0980,10.1234,5.0000
0.0815,0.0548,10.4439,5.0000
0.0500,0.0658,9.0481,4.0000
0.0500,0.0704,10.4418,4.0000
0.0308,0.0341,10.0070,6.0000
0.0357,0.0678,9.1912,4.0000
0.0308,0.0363,9.7651,4.0000
0.0133,0.0133,10.1627,2.0000
0.0208,0.0413,9.1641,5.0000
0.0133,0.0435,10.6572,3.0000
0.0500,0.0160,9.8482,4.0000
0.0403,0.0119,8.6914,1.0000
0.0119,0.0346,10.4286,5.0000
0.0403,0.0241,9.3859,3.0000
0.0569,0.0451,10.2447,4.0000
0.0191,0.0145,10.0973,6.0000
0.0108,0.0521,9.4024,3.0000
0.1269,0.0649,10.3748,5.0000
0.0036,0.1024,10.0897,3.0000
0.1850,0.0733,10.2959,5.0000
0.0524,0.0745,8.7908,4.0000
0.0551,0.0538,11.0623,2.0000
0.0551,0.0474,9.4518,3.0000
0.0244,0.0623,9.4865,4.0000
0.1378,0.0804,10.0000,4.0000
0.1378,0.1378,9.8782,5.0000
0.1378,0.0982,9.3848,4.0000
0.1231,0.0651,8.8572,5.0000
0.0887,0.0630,9.1013,3.0000
0.0887,0.0725,10.0967,4.0000
0.0701,0.0643,9.8320,5.0000
0.1007,0.0534,10.1199,3.0000
0.0014,0.0744,9.6935,5.0000
0.0172,0.0857,9.0097,5.0000
